# Oscilloscope Data

# Seconds	force_sensor_R.filtered_adc
12.889	33724
12.899	33727
12.909	33725
12.919	33725
12.929	33725
12.939	33726
12.949	33722
12.959	33727
12.969	33722
12.979	33725
12.989	33723
12.999	33726
13.009	33725
13.019	33727
13.029	33723
13.039	33724
13.049	33722
13.059	33725
13.069	33724
13.079	33724
13.089	33722
13.099	33726
13.109	33725
13.119	33727
13.129	33723
13.139	33726
13.149	33725
13.159	33726
13.169	33723
13.179	33724
13.189	33723
13.199	33727
13.209	33724
13.219	33727
13.229	33725
13.239	33726
13.249	33725
13.259	33727
13.269	33723
13.279	33726
13.289	33725
13.299	33722
13.309	33724
13.319	33728
13.329	33722
13.339	33727
13.349	33723
13.359	33724
13.369	33724
13.379	33728
13.389	33725
13.399	33724
13.409	33727
13.419	33723
13.429	33724
13.439	33724
13.449	33723
13.459	33727
13.469	33727
13.479	33728
13.489	33725
13.499	33729
13.509	33725
13.519	33724
13.529	33721
13.539	33725
13.549	33722
13.559	33727
13.569	33724
13.579	33727
13.589	33724
13.599	33726
13.609	33720
13.619	33725
13.629	33722
13.639	33726
13.649	33723
13.659	33724
13.669	33723
13.679	33724
13.689	33723
13.699	33725
13.709	33725
13.719	33725
13.729	33726
13.739	33726
13.749	33722
13.759	33724
13.769	33721
13.779	33724
13.789	33725
13.799	33727
13.809	33724
13.819	33723
13.829	33725
13.839	33726
13.849	33722
13.859	33727
13.869	33724
13.879	33728
13.889	33724
13.899	33728
13.909	33723
13.919	33722
13.929	33726
13.939	33725
13.949	33723
13.959	33726
13.969	33724
13.979	33724
13.989	33723
13.999	33727
14.009	33721
14.019	33724
14.029	33724
14.039	33723
14.049	33719
14.059	33727
14.069	33721
14.079	33727
14.089	33725
14.099	33728
14.109	33725
14.119	33725
14.129	33724
14.139	33725
14.149	33722
14.159	33726
14.169	33724
14.179	33725
14.189	33725
14.199	33726
14.209	33725
14.219	33724
14.229	33722
14.239	33725
14.249	33721
14.259	33726
14.269	33725
14.279	33726
14.289	33723
14.299	33725
14.309	33722
14.319	33726
14.329	33724
14.339	33721
14.349	33721
14.359	33728
14.369	33722
14.379	33724
14.389	33722
14.400	33722
14.409	33721
14.419	33725
14.429	33722
14.439	33726
14.449	33726
14.461	33722
14.472	33724
14.479	33726
14.489	33727
14.503	33724
14.509	33722
14.519	33725
14.529	33724
14.539	33726
14.549	33725
14.559	33726
14.569	33725
14.579	33725
14.589	33725
14.599	33728
14.609	33725
14.619	33725
14.629	33724
14.639	33727
14.649	33723
14.659	33727
14.669	33722
14.679	33722
14.689	33723
14.699	33723
14.709	33724
14.719	33727
14.729	33725
14.739	33725
14.749	33724
14.759	33726
14.769	33721
14.779	33725
14.789	33723
14.799	33726
14.809	33726
14.819	33727
14.829	33726
14.839	33726
14.849	33724
14.859	33725
14.869	33724
14.879	33726
14.889	33726
14.899	33728
14.909	33722
14.919	33724
14.929	33724
14.939	33726
14.949	33724
14.959	33727
14.969	33724
14.979	33725
14.989	33722
14.999	33725
15.009	33724
15.019	33728
15.029	33725
15.039	33725
15.049	33725
15.059	33727
15.069	33724
15.079	33723
15.089	33723
15.099	33725
15.109	33722
15.119	33725
15.129	33725
15.139	33725
15.149	33725
15.159	33728
15.169	33724
15.179	33726
15.189	33725
15.199	33726
15.209	33722
15.219	33725
15.229	33724
15.239	33725
15.249	33722
15.259	33726
15.269	33725
15.279	33725
15.289	33721
15.299	33726
15.309	33720
15.319	33724
15.329	33724
15.339	33727
15.349	33725
15.359	33724
15.369	33725
15.379	33724
15.389	33723
15.399	33726
15.409	33726
15.419	33725
15.429	33722
15.439	33727
15.449	33723
15.459	33725
15.469	33723
15.479	33726
15.489	33723
15.499	33725
15.509	33725
15.519	33727
15.529	33726
15.539	33727
15.549	33724
15.559	33725
15.569	33722
15.579	33723
15.589	33725
15.599	33726
15.609	33725
15.619	33727
15.629	33723
15.639	33727
15.649	33723
15.659	33723
15.669	33723
