# Oscilloscope Data

# Seconds	force_sensor_L.filtered_adc
8.470	33596
8.480	33607
8.489	33616
8.500	33624
8.509	33626
8.519	33626
8.529	33613
8.539	33592
8.549	33567
8.559	33535
8.569	33514
8.579	33483
8.589	33453
8.599	33393
8.609	33305
8.619	33220
8.629	33120
8.639	33004
8.649	32950
8.659	32893
8.669	32847
8.679	32811
8.689	32799
8.699	32787
8.709	32782
8.719	32781
8.729	32779
8.739	32776
8.749	32775
8.759	32772
8.769	32772
8.779	32771
8.789	32770
8.799	32769
8.809	32769
8.819	32769
8.829	32768
8.839	32767
8.849	32767
8.859	32767
8.869	32766
8.879	32766
8.889	32766
8.899	32765
8.909	32765
8.919	32765
8.929	32765
8.939	32764
8.949	32762
8.959	32761
8.969	32761
8.979	32759
8.989	32757
8.999	32757
9.009	32752
9.019	32750
9.029	32751
9.039	32750
9.049	32745
9.059	32745
9.069	32747
9.079	32745
9.089	32749
9.099	32751
9.109	32754
9.119	32749
9.129	32750
9.139	32753
9.149	32754
9.159	32751
9.169	32750
9.179	32747
9.189	32745
9.199	32742
9.209	32737
9.219	32747
9.229	32741
9.239	32729
9.249	32736
9.259	32728
9.269	32735
9.279	32732
9.289	32737
9.299	32734
9.309	32734
9.319	32744
9.329	32742
9.339	32745
9.349	32748
9.359	32754
9.369	32755
9.379	32756
9.389	32754
9.399	32753
9.409	32756
9.419	32759
9.429	32752
9.439	32757
9.449	32754
9.459	32750
9.469	32750
9.479	32743
9.489	32743
9.499	32742
9.509	32743
9.519	32739
9.529	32741
9.539	32737
9.549	32746
9.559	32746
9.569	32745
9.579	32745
9.589	32747
9.599	32746
9.609	32748
9.619	32750
9.629	32755
9.639	32752
9.649	32752
9.659	32752
9.669	32755
9.679	32755
9.689	32756
9.699	32759
9.709	32759
9.719	32760
9.729	32760
9.739	32758
9.749	32759
9.759	32758
9.769	32758
9.779	32758
9.789	32754
9.799	32754
9.809	32756
9.819	32755
9.829	32754
9.839	32755
9.849	32760
9.859	32759
9.869	32761
9.879	32763
9.889	32764
9.899	32764
9.909	32765
9.919	32765
9.929	32764
9.939	32763
9.949	32761
9.959	32763
9.969	32765
9.979	32761
9.989	32763
9.999	32761
10.009	32762
10.019	32760
10.029	32759
10.039	32759
10.049	32760
10.059	32760
10.069	32760
10.079	32759
10.089	32759
10.099	32758
10.109	32759
10.119	32760
10.129	32758
10.139	32758
10.149	32759
10.159	32758
10.169	32758
10.179	32760
10.189	32759
10.199	32760
10.209	32760
10.219	32758
10.229	32759
10.239	32759
10.249	32758
10.259	32756
10.269	32756
10.279	32755
10.289	32756
10.299	32758
10.309	32754
10.319	32756
10.329	32752
10.339	32751
10.349	32751
10.359	32752
10.369	32751
10.379	32753
10.389	32754
10.399	32752
10.409	32753
10.419	32751
10.429	32752
10.439	32746
10.449	32747
10.459	32748
10.469	32748
10.479	32737
10.489	32747
10.499	32745
10.509	32743
10.519	32744
10.529	32740
10.539	32733
10.549	32736
10.559	32742
10.569	32751
10.579	32750
10.589	32751
10.599	32743
10.609	32744
10.619	32742
10.629	32734
10.639	32737
10.649	32738
10.659	32740
10.669	32741
10.679	32745
10.689	32741
10.699	32745
10.709	32740
10.719	32745
10.729	32744
10.739	32747
10.749	32743
10.759	32738
10.769	32739
10.779	32731
10.789	32733
10.799	32732
10.809	32741
10.819	32742
10.829	32741
10.839	32743
10.849	32741
10.859	32731
10.869	32736
10.879	32737
10.889	32740
10.899	32752
10.909	32759
10.919	32761
10.929	32762
10.939	32763
10.949	32764
10.959	32760
10.969	32757
10.979	32757
10.989	32757
10.999	32763
11.009	32764
11.019	32767
11.029	32768
11.039	32769
11.049	32771
11.059	32771
11.069	32772
11.079	32771
11.089	32767
11.099	32764
11.109	32753
11.119	32731
11.129	32709
11.139	32670
11.149	32657
11.159	32694
11.169	32735
11.179	32754
11.189	32767
11.199	32772
11.209	32776
11.219	32785
11.229	32785
11.239	32791
11.249	32807
11.259	32834
11.269	32874
11.279	32887
11.289	32903
11.299	32922
11.309	32938
11.319	32959
11.329	32976
11.339	32992
11.349	33005
11.359	33008
11.369	33008
11.379	33005
11.389	33005
11.399	33014
11.409	33022
11.419	33030
11.429	33043
11.439	33056
11.449	33069
11.459	33080
11.469	33092
11.479	33101
11.489	33111
11.499	33120
11.509	33127
11.519	33140
11.529	33151
11.539	33162
11.549	33180
11.559	33189
11.569	33198
11.579	33202
11.589	33203
11.599	33205
11.609	33204
11.619	33214
11.629	33219
11.639	33223
11.649	33218
11.659	33214
11.669	33205
11.679	33202
11.689	33203
11.700	33203
11.709	33200
11.719	33192
11.729	33185
11.739	33173
11.749	33174
11.759	33171
11.769	33162
11.779	33145
11.789	33122
11.799	33072
11.809	33006
11.819	32961
11.829	32911
11.839	32855
11.849	32813
11.859	32784
11.869	32773
11.879	32768
11.889	32764
11.899	32762
11.909	32762
11.919	32760
11.929	32762
11.939	32763
11.949	32759
11.959	32757
11.969	32759
11.979	32756
11.989	32742
11.999	32731
12.009	32718
12.019	32698
12.029	32691
12.039	32709
12.049	32724
12.059	32727
12.069	32724
12.079	32732
12.089	32739
12.099	32744
12.109	32748
12.119	32748
12.129	32750
12.139	32745
12.149	32751
12.159	32753
12.169	32750
12.179	32749
12.189	32747
12.199	32751
12.209	32748
12.219	32749
12.229	32747
12.239	32749
12.249	32752
12.259	32750
12.269	32751
12.279	32754
12.289	32748
12.299	32750
12.309	32752
12.319	32749
12.329	32749
12.339	32749
12.349	32745
12.359	32749
12.369	32751
12.379	32751
12.389	32750
12.399	32750
12.409	32749
12.419	32748
12.429	32748
12.439	32750
12.449	32752
12.459	32754
12.469	32748
12.479	32749
12.489	32750
12.499	32748
12.509	32748
12.519	32750
12.529	32749
12.539	32747
12.549	32746
12.559	32750
12.569	32750
12.579	32748
12.589	32751
12.599	32752
12.609	32753
12.619	32748
12.629	32750
12.639	32753
12.649	32754
12.659	32760
12.669	32763
12.679	32764
12.689	32764
12.699	32765
12.709	32763
12.719	32761
12.729	32761
12.739	32759
12.749	32758
12.759	32752
12.769	32755
12.779	32756
12.789	32753
12.799	32750
12.809	32751
12.819	32748
12.829	32750
12.839	32751
12.849	32744
12.859	32741
12.869	32741
12.879	32744
12.889	32741
12.899	32745
12.909	32745
12.919	32742
12.929	32753
12.939	32746
12.949	32747
12.959	32734
